Q_equal,u,m_drive,ideal_growth_gamma0_over_Kc,geometric_loss_over_Kc,growth_to_threshold_ratio,zero_detuning_threshold_modulation_m,pump_depletion_clamped_m_zero_detuning,nonlinear_detuning_needed_abs_Delta_over_Omega,nonlinear_detuning_needed_percent_Omega
10,1.1,0.1,0.011456439237389607,0.011456439237389605,1.0000000000000002,0.1,0.1,0.0,0.0
12,1.1,0.1,0.011456439237389607,0.009547032697824672,1.2000000000000002,0.08333333333333333,0.08333333333333333,0.027638539919628342,2.763853991962834
15,1.1,0.1,0.011456439237389607,0.007637626158259737,1.5000000000000002,0.06666666666666667,0.06666666666666667,0.0372677996249965,3.7267799624996503
20,1.1,0.1,0.011456439237389607,0.0057282196186948025,2.0000000000000004,0.05,0.05,0.04330127018922194,4.330127018922194
30,1.1,0.1,0.011456439237389607,0.0038188130791298684,3.0000000000000004,0.03333333333333333,0.03333333333333333,0.047140452079103175,4.714045207910318
50,1.1,0.1,0.011456439237389607,0.002291287847477921,5.000000000000001,0.02,0.02,0.04898979485566357,4.8989794855663575
100,1.1,0.1,0.011456439237389607,0.0011456439237389605,10.000000000000002,0.01,0.01,0.049749371855331,4.9749371855331
