u,A_numeric,delta0_deg,B,cosine_relative_rms,fm_Hz,f0_Hz,pred_u,pred_u_1mu,pred_u_1mupow2,pred_u_1mupow2pow3_2,Dorian_fixed_prediction,Dorian_fixed_rel_error
0.05,0.0002508075085012,-3.1580048520215355e-09,5.722610382873875e-10,7.594934923477798e-09,83333.33333333333,1666.6666666666663,0.0003814590416526,0.0001655070706976,0.0002523000866871,0.0001971721995748,0.0002506265664160401,0.0007214380711374613
0.1,0.0005054271667899,3.4491695042790905e-10,4.621329761159883e-09,1.6676103570905992e-07,166666.66666666666,3333.333333333333,0.0007629180833053,0.0003494038159172,0.0005084229019605,0.0003988340619133,0.000505050505050505,0.0007452344554155587
0.15,0.0007678684255757,-3.221140732668213e-10,1.584321238146478e-08,9.078507084061934e-07,249999.99999999997,4999.999999999999,0.0011443771249579,0.000554935472339,0.0007723867103953,0.0006097631057247,0.0007672634271099745,0.0007878934014925162
0.2,0.001042557368845,-1.2047293843079786e-10,3.8385300524688265e-08,3.02409440258519e-06,333333.3333333333,6666.666666666666,0.0015258361666106,0.0007861585858137,0.0010486222352936,0.0008353494280468,0.0010416666666666667,0.0008543435641533815
0.25,0.0013346044682952,1.0267161603072076e-10,7.710179458786248e-08,7.803839669565579e-06,416666.6666666666,8333.333333333332,0.0019072952082633,0.0010482114477516,0.0013422364611758,0.0010820021595124,0.0013333333333333333,0.0009524432085039013
0.3,0.0016501572410294,-1.9083003336082663e-12,1.378335576798726e-07,1.7259250816447674e-05,499999.9999999999,9999.999999999998,0.0022887542499159,0.0013477004328235,0.0016593582624426,0.0013577011933443,0.0016483516483516484,0.001094194318491281
0.35,0.0019968934967972,-7.658704759312396e-12,2.276878657663672e-07,3.451349659606193e-05,583333.3333333333,11666.666666666666,0.0026702132915686,0.001693264646368,0.0020076186385109,0.0016727937228641,0.001994301994301994,0.001297767006283841
0.3999999999999999,0.0023847462884565,5.899140051531432e-12,3.552245721068341e-07,6.44638370931568e-05,666666.6666666665,13333.33333333333,0.0030516723332212,0.0020964228955032,0.0023968508235283,0.002041202519503,0.0023809523809523803,0.0015909061364239956
0.4499999999999999,0.0028270181822809,-1.2123354823090496e-12,5.302702210727997e-07,0.0001149496850805,749999.9999999999,14999.999999999998,0.0034331313748739,0.0025728826444812,0.0028401555212968,0.0024823413957041,0.0028213166144200616,0.0020168132969836015
0.4999999999999999,0.0033421723282852,6.056602625832823e-12,7.625807458080135e-07,0.0001988936058998,833333.333333333,16666.66666666666,0.0038145904165266,0.0031446343432548,0.0033555911529396,0.0030242879755891,0.0033333333333333322,0.0026446855768214356
0.5499999999999999,0.0039568554942043,-1.3155007590601858e-11,1.0571672787445796e-06,0.0003384303549982,916666.6666666664,18333.33333333333,0.0041960494581792,0.0038434419750892,0.0039689787830469,0.0037092952643054,0.0039426523297491035,0.00358950800098728
0.6,0.0047112989274478,-2.36899852987254e-12,1.399930321865025e-06,0.0005733956829663,999999.9999999998,20000.0,0.0045775084998319,0.0047169515148823,0.0047188000588213,0.0046039046751914,0.0046875,0.005051457743245457
0.65,0.0056696626556321,3.774173159988531e-12,1.7139013829915223e-06,0.0009802600862582,1083333.3333333333,21666.666666666664,0.0049589675414846,0.0058400352089019,0.0056652837647033,0.005818759498721,0.005627705627705629,0.007400268847528621
0.7,0.0069416957927254,5.686610956525483e-13,1.7190389218042855e-06,0.0017191382405317,1166666.6666666665,23333.33333333333,0.0053404265831372,0.0073374801342613,0.0069085700207581,0.0075507103252142,0.006862745098039215,0.011373401693707557
