u,gamma_numeric,gamma_2mode,relative_error,gamma_over_Omega_numeric,gamma_over_Omega_2mode,omega_c_over_Kc,k_c_over_K
1.01,0.003075369826888535,0.0035443617196894567,-0.13232055018414227,0.003044920620681718,0.003509269029395502,0.0050000000000000044,-0.0050000000000000044
1.02,0.004783702729391179,0.005024937810560445,-0.048007575469349015,0.004689904636658019,0.004926409618196515,0.010000000000000009,-0.010000000000000009
1.05,0.00788474606528419,0.008003905296791063,-0.014887636358546973,0.007509281966937323,0.0076227669493248214,0.025000000000000022,-0.025000000000000022
1.1,0.011392197794504963,0.011456439237389607,-0.005607452852801159,0.010356543449549966,0.010414944761263279,0.050000000000000044,-0.050000000000000044
1.15,0.014159232690422638,0.01419727086450068,-0.0026792595873587548,0.012312376252541425,0.012345452925652766,0.07499999999999996,-0.07499999999999996
1.2,0.01656243926880676,0.016583123951777,-0.0012473333149043285,0.013802032724005634,0.013819269959814166,0.09999999999999998,-0.09999999999999998
