u,delta_deg,xi_bulk_deembedded,xi_D,relative_error,boundary_phase_intercept_rad,phase_fit_rms_rad
0.15,0.0,0.0007781692420369146,0.0007672634271099745,0.014213912121445302,6.161290683999171e-07,1.114215114730126e-06
0.15,45.0,0.0005505664075025543,0.0005425371722658933,0.014799419555211456,5.499344076857136e-07,7.912501940798874e-07
0.15,180.0,-0.0007780155579239009,-0.0007672634271099745,0.014013610494150834,-5.80107739449831e-07,1.0392072255485193e-06
0.4,0.0,0.002432583638471366,0.002380952380952381,0.0216851281579736,1.3163664817799112e-05,2.7849452102643148e-05
0.4,45.0,0.0017222993842841954,0.0016835875742536848,0.02299364204304676,1.1540489350049173e-05,2.1478050279167104e-05
0.4,180.0,-0.00242541749506759,-0.002380952380952381,0.01867534792838763,-8.531212274448875e-06,1.8036546846678052e-05
0.6,0.0,0.004736172623614668,0.0046875,0.010383493037795882,-0.00012263318904015278,0.00016812456466981917
0.6,45.0,0.0033273137540823505,0.0033145630368119415,0.0038468772893434275,-0.00011237748060365281,0.00015022079291603349
0.6,180.0,-0.004828831156439035,-0.0046875,0.030150646706994154,4.501336122504604e-06,7.634128008434262e-05
