model,C,D,train_SSE,heldout_SSE,heldout_RMSE
u/(1-u^2),0.005106384405199381,-0.0042607767502395215,4.916176916269124e-08,9.673966230700587e-07,0.00010038450157758306
u/(1-u),0.003421790890807559,-0.004260776750239533,1.3208536781088488e-06,9.905525953524879e-06,0.0003212204259007888
u/(1-u^2)^(3/2),0.004403134469337866,-0.004260776750239512,7.58049397307133e-07,1.8367156860248524e-05,0.0004374066193230148
u,0.006688433741934351,-0.004260776750239576,3.801962702584508e-06,3.746371257272872e-05,0.0006246975315830247
