model,scale,SSE,RMSE,AIC,max_point_relative_error
u/(1-u^2),0.005033386729409493,2.145241356024974e-09,1.2378672199810257e-05,-314.38699540308363,0.0059510905191654355
u/(1-u),0.0031446343432548754,7.936949270824855e-07,0.00023810185801796278,-231.59873602751088,0.3401032062928733
u/(1-u^2)^(3/2),0.003928665322830033,1.140373421287099e-06,0.0002854036516543717,-226.5249696278847,0.21385049134652506
u,0.0076291808330532385,5.827435621008278e-06,0.0006451708312537008,-203.6878718042233,0.5209235318838681
